x,y
2680,+.965744181934E-0002
2690,+.963947781199E-0002
2700,+.962161367882E-0002
2710,+.960384849778E-0002
2720,+.958618135871E-0002
2730,+.956861136316E-0002
2740,+.955113762409E-0002
2750,+.953375926585E-0002
2760,+.951647542382E-0002
2770,+.949928524435E-0002
2780,+.948218788457E-0002
2790,+.946518251214E-0002
2800,+.944826830515E-0002
2810,+.943144445196E-0002
2820,+.941471015098E-0002
2830,+.939806461056E-0002
2840,+.938150704881E-0002
2850,+.936503669342E-0002
2860,+.934865278158E-0002
2870,+.933235455976E-0002
2880,+.931614128362E-0002
2890,+.930001221781E-0002
2900,+.928396663588E-0002
2910,+.926800382013E-0002
2920,+.925212306145E-0002
2930,+.923632365922E-0002
2940,+.922060492116E-0002
2950,+.920496616320E-0002
2960,+.918940670939E-0002
2970,+.917392589173E-0002
2980,+.915852305007E-0002
2990,+.914319753200E-0002
3000,+.912794869274E-0002
3010,+.911277589498E-0002
3020,+.909767850884E-0002
3030,+.908265591168E-0002
3040,+.906770748806E-0002
3050,+.905283262961E-0002
3060,+.903803073489E-0002
3070,+.902330120937E-0002
3080,+.900864346524E-0002
3090,+.899405692137E-0002
3100,+.897954100319E-0002
3110,+.896509514262E-0002
3120,+.895071877792E-0002
3130,+.893641135367E-0002
3140,+.892217232062E-0002
3150,+.890800113563E-0002
3160,+.889389726161E-0002
3170,+.887986016735E-0002
3180,+.886588932755E-0002
3190,+.885198422264E-0002
3200,+.883814433874E-0002
3210,+.882436916758E-0002
3220,+.881065820642E-0002
3230,+.879701095796E-0002
3240,+.878342693031E-0002
3250,+.876990563683E-0002
3260,+.875644659615E-0002
3270,+.874304933203E-0002
3280,+.872971337333E-0002
3290,+.871643825392E-0002
3300,+.870322351261E-0002
3310,+.869006869311E-0002
3320,+.867697334391E-0002
3330,+.866393701827E-0002
3340,+.865095927415E-0002
3350,+.863803967409E-0002
3360,+.862517778522E-0002
3370,+.861237317917E-0002
3380,+.859962543199E-0002
3390,+.858693412412E-0002
3400,+.857429884032E-0002
3410,+.856171916963E-0002
3420,+.854919470525E-0002
3430,+.853672504459E-0002
3440,+.852430978914E-0002
3450,+.851194854441E-0002
3460,+.849964091994E-0002
3470,+.848738652918E-0002
3480,+.847518498950E-0002
3490,+.846303592208E-0002
3500,+.845093895190E-0002
3510,+.843889370769E-0002
3520,+.842689982188E-0002
3530,+.841495693053E-0002
3540,+.840306467330E-0002
3550,+.839122269340E-0002
3560,+.837943063758E-0002
3570,+.836768815602E-0002
3580,+.835599490236E-0002
3590,+.834435053357E-0002
3600,+.833275470999E-0002
3610,+.832120709525E-0002
3620,+.830970735625E-0002
3630,+.829825516304E-0002
3640,+.828685018894E-0002
3650,+.827549211031E-0002
3660,+.826418060669E-0002
3670,+.825291536061E-0002
3680,+.824169605765E-0002
3690,+.823052238638E-0002
3700,+.821939403833E-0002
3710,+.820831070789E-0002
3720,+.819727209238E-0002
3730,+.818627789192E-0002
3740,+.817532780949E-0002
3750,+.816442155079E-0002
3760,+.815355882428E-0002
3770,+.814273934116E-0002
3780,+.813196281524E-0002
3790,+.812122896303E-0002
3800,+.811053750365E-0002
3810,+.809988815875E-0002
3820,+.808928065258E-0002
3830,+.807871471192E-0002
3840,+.806819006601E-0002
3850,+.805770644654E-0002
3860,+.804726358767E-0002
3870,+.803686122596E-0002
3880,+.802649910033E-0002
3890,+.801617695208E-0002
3900,+.800589452478E-0002
3910,+.799565156436E-0002
3920,+.798544781897E-0002
3930,+.797528303902E-0002
3940,+.796515697716E-0002
3950,+.795506938822E-0002
3960,+.794502002916E-0002
3970,+.793500865914E-0002
3980,+.792503503941E-0002
3990,+.791509893332E-0002
4000,+.790520010629E-0002
4010,+.789533832579E-0002
4020,+.788551336132E-0002
4030,+.787572498439E-0002
4040,+.786597296846E-0002
4050,+.785625708897E-0002
4060,+.784657712331E-0002
4070,+.783693285076E-0002
4080,+.782732405251E-0002
4090,+.781775051161E-0002
4100,+.780821201296E-0002
4110,+.779870834334E-0002
4120,+.778923929128E-0002
4130,+.777980464713E-0002
4140,+.777040420303E-0002
4150,+.776103775283E-0002
4160,+.775170509215E-0002
4170,+.774240601834E-0002
4180,+.773314033039E-0002
4190,+.772390782902E-0002
4200,+.771470831660E-0002
4210,+.770554159716E-0002
4220,+.769640747629E-0002
4230,+.768730576125E-0002
4240,+.767823626092E-0002
4250,+.766919878566E-0002
4260,+.766019314747E-0002
4270,+.765121915987E-0002
4280,+.764227663785E-0002
4290,+.763336539801E-0002
4300,+.762448525838E-0002
4310,+.761563603845E-0002
4320,+.760681755925E-0002
4330,+.759802964318E-0002
4340,+.758927211412E-0002
4350,+.758054479732E-0002
4360,+.757184751951E-0002
4370,+.756318010875E-0002
4380,+.755454239446E-0002
4390,+.754593420747E-0002
4400,+.753735537995E-0002
4410,+.752880574535E-0002
4420,+.752028513851E-0002
4430,+.751179339554E-0002
4440,+.750333035381E-0002
4450,+.749489585205E-0002
4460,+.748648973018E-0002
4470,+.747811182941E-0002
4480,+.746976199221E-0002
4490,+.746144006222E-0002
4500,+.745314588434E-0002
4510,+.744487930469E-0002
4520,+.743664017051E-0002
4530,+.742842833031E-0002
4540,+.742024363372E-0002
4550,+.741208593152E-0002
4560,+.740395507565E-0002
4570,+.739585091920E-0002
4580,+.738777331635E-0002
4590,+.737972212241E-0002
4600,+.737169719380E-0002
4610,+.736369838802E-0002
4620,+.735572556364E-0002
4630,+.734777858032E-0002
4640,+.733985729879E-0002
4650,+.733196158077E-0002
4660,+.732409128908E-0002
4670,+.731624628756E-0002
4680,+.730842644101E-0002
4690,+.730063161532E-0002
4700,+.729286167736E-0002
4710,+.728511649491E-0002
4720,+.727739593687E-0002
4730,+.726969987298E-0002
4740,+.726202817401E-0002
4750,+.725438071169E-0002
4760,+.724675735864E-0002
4770,+.723915798848E-0002
4780,+.723158247570E-0002
4790,+.722403069574E-0002
4800,+.721650252494E-0002
4810,+.720899784054E-0002
4820,+.720151652068E-0002
4830,+.719405844437E-0002
4840,+.718662349149E-0002
4850,+.717921154281E-0002
4860,+.717182247993E-0002
4870,+.716445618534E-0002
4880,+.715711254234E-0002
4890,+.714979143510E-0002
4900,+.714249274854E-0002
4910,+.713521636852E-0002
4920,+.712796218160E-0002
4930,+.712073007522E-0002
4940,+.711351993758E-0002
4950,+.710633165767E-0002
4960,+.709916512531E-0002
4970,+.709202023101E-0002
4980,+.708489686616E-0002
4990,+.707779492281E-0002
5000,+.707071429383E-0002
5010,+.706365487281E-0002
5020,+.705661655410E-0002
5030,+.704959923274E-0002
5040,+.704260280462E-0002
5050,+.703562716618E-0002
5060,+.702867221469E-0002
5070,+.702173784811E-0002
5080,+.701482396511E-0002
5090,+.700793046501E-0002
5100,+.700105724788E-0002
5110,+.699420421445E-0002
5120,+.698737126611E-0002
5130,+.698055830495E-0002
5140,+.697376523374E-0002
5150,+.696699195584E-0002
5160,+.696023837536E-0002
5170,+.695350439699E-0002
5180,+.694678992610E-0002
5190,+.694009486870E-0002
5200,+.693341913137E-0002
5210,+.692676262145E-0002
5220,+.692012524672E-0002
5230,+.691350691575E-0002
5240,+.690690753764E-0002
5250,+.690032702207E-0002
5260,+.689376527937E-0002
5270,+.688722222047E-0002
5280,+.688069775684E-0002
5290,+.687419180061E-0002
5300,+.686770426441E-0002
5310,+.686123506148E-0002
5320,+.685478410566E-0002
5330,+.684835131132E-0002
5340,+.684193659340E-0002
5350,+.683553986742E-0002
5360,+.682916104940E-0002
5370,+.682280005596E-0002
5380,+.681645680423E-0002
5390,+.681013121189E-0002
5400,+.680382319716E-0002
5410,+.679753267879E-0002
5420,+.679125957602E-0002
5430,+.678500380866E-0002
5440,+.677876529700E-0002
5450,+.677254396187E-0002
5460,+.676633972461E-0002
5470,+.676015250700E-0002
5480,+.675398223140E-0002
5490,+.674782882064E-0002
5500,+.674169219802E-0002
5510,+.673557228733E-0002
5520,+.672946901285E-0002
5530,+.672338229938E-0002
5540,+.671731207214E-0002
5550,+.671125825681E-0002
5560,+.670522077964E-0002
5570,+.669919956721E-0002
5580,+.669319454666E-0002
5590,+.668720564551E-0002
5600,+.668123279181E-0002
5610,+.667527591401E-0002
5620,+.666933494099E-0002
5630,+.666340980214E-0002
5640,+.665750042725E-0002
5650,+.665160674652E-0002
5660,+.664572869060E-0002
5670,+.663986619060E-0002
5680,+.663401917799E-0002
5690,+.662818758474E-0002
5700,+.662237134318E-0002
5710,+.661657038606E-0002
5720,+.661078464658E-0002
5730,+.660501405831E-0002
5740,+.659925855523E-0002
5750,+.659351807172E-0002
5760,+.658779254260E-0002
5770,+.658208190303E-0002
5780,+.657638608860E-0002
5790,+.657070503526E-0002
5800,+.656503867938E-0002
5810,+.655938695769E-0002
5820,+.655374980730E-0002
5830,+.654812716570E-0002
5840,+.654251897078E-0002
5850,+.653692516077E-0002
5860,+.653134567428E-0002
5870,+.652578045028E-0002
5880,+.652022942811E-0002
5890,+.651469254748E-0002
5900,+.650916974844E-0002
5910,+.650366097142E-0002
5920,+.649816615716E-0002
5930,+.649268524678E-0002
5940,+.648721818176E-0002
5950,+.648176490390E-0002
5960,+.647632535534E-0002
5970,+.647089947856E-0002
5980,+.646548721640E-0002
5990,+.646008851203E-0002
6000,+.645470330890E-0002
6010,+.644933155088E-0002
6020,+.644397318209E-0002
6030,+.643862814698E-0002
6040,+.643329639038E-0002
6050,+.642797785738E-0002
6060,+.642267249343E-0002
6070,+.641738024424E-0002
6080,+.641210105590E-0002
6090,+.640683487477E-0002
6100,+.640158164749E-0002
6110,+.639634132109E-0002
6120,+.639111384281E-0002
6130,+.638589916026E-0002
6140,+.638069722133E-0002
6150,+.637550797417E-0002
6160,+.637033136728E-0002
6170,+.636516734943E-0002
6180,+.636001586965E-0002
6190,+.635487687730E-0002
6200,+.634975032200E-0002
6210,+.634463615370E-0002
6220,+.633953432256E-0002
6230,+.633444477909E-0002
6240,+.632936747401E-0002
6250,+.632430235837E-0002
6260,+.631924938345E-0002
6270,+.631420850087E-0002
6280,+.630917966245E-0002
6290,+.630416282031E-0002
6300,+.629915792682E-0002
6310,+.629416493463E-0002
6320,+.628918379668E-0002
6330,+.628421446608E-0002
6340,+.627925689629E-0002
6350,+.627431104098E-0002
6360,+.626937685411E-0002
6370,+.626445428986E-0002
6380,+.625954330266E-0002
6390,+.625464384720E-0002
6400,+.624975587844E-0002
6410,+.624487935157E-0002
6420,+.624001422200E-0002
6430,+.623516044541E-0002
6440,+.623031797771E-0002
6450,+.622548677507E-0002
6460,+.622066679387E-0002
6470,+.621585799071E-0002
6480,+.621106032250E-0002
6490,+.620627374632E-0002
6500,+.620149821947E-0002
6510,+.619673369954E-0002
6520,+.619198014428E-0002
6530,+.618723751172E-0002
6540,+.618250576009E-0002
6550,+.617778484784E-0002
6560,+.617307473365E-0002
6570,+.616837537643E-0002
6580,+.616368673529E-0002
6590,+.615900876957E-0002
6600,+.615434143880E-0002
6610,+.614968470278E-0002
6620,+.614503852144E-0002
6630,+.614040285502E-0002
6640,+.613577766390E-0002
6650,+.613116290866E-0002
6660,+.612655855016E-0002
6670,+.612196454939E-0002
6680,+.611738086758E-0002
6690,+.611280746617E-0002
6700,+.610824430676E-0002
6710,+.610369135120E-0002
6720,+.609914856152E-0002
6730,+.609461589994E-0002
6740,+.609009332889E-0002
6750,+.608558081096E-0002
6760,+.608107830899E-0002
6770,+.607658578599E-0002
6780,+.607210320511E-0002
6790,+.606763052977E-0002
6800,+.606316772353E-0002
6810,+.605871475014E-0002
6820,+.605427157356E-0002
6830,+.604983815792E-0002
6840,+.604541446752E-0002
6850,+.604100046688E-0002
6860,+.603659612065E-0002
6870,+.603220139371E-0002
6880,+.602781625106E-0002
6890,+.602344065797E-0002
6900,+.601907457977E-0002
6910,+.601471798208E-0002
6920,+.601037083061E-0002
6930,+.600603309125E-0002
6940,+.600170473014E-0002
6950,+.599738571350E-0002
6960,+.599307600775E-0002
6970,+.598877557952E-0002
6980,+.598448439554E-0002
6990,+.598020242275E-0002
7000,+.597592962824E-0002
7010,+.597166597926E-0002
7020,+.596741144325E-0002
7030,+.596316598777E-0002
7040,+.595892958057E-0002
7050,+.595470218958E-0002
7060,+.595048378285E-0002
7070,+.594627432859E-0002
7080,+.594207379520E-0002
7090,+.593788215117E-0002
7100,+.593369936524E-0002
7110,+.592952540624E-0002
7120,+.592536024318E-0002
7130,+.592120384518E-0002
7140,+.591705618156E-0002
7150,+.591291722176E-0002
7160,+.590878693541E-0002
7170,+.590466529221E-0002
7180,+.590055226211E-0002
7190,+.589644781512E-0002
7200,+.589235192145E-0002
7210,+.588826455140E-0002
7220,+.588418567548E-0002
7230,+.588011526430E-0002
7240,+.587605328865E-0002
7250,+.587199971939E-0002
7260,+.586795452757E-0002
7270,+.586391768439E-0002
7280,+.585988916119E-0002
7290,+.585586892939E-0002
7300,+.585185696060E-0002
7310,+.584785322657E-0002
7320,+.584385769916E-0002
7330,+.583987035037E-0002
7340,+.583589115233E-0002
7350,+.583192007733E-0002
7360,+.582795709772E-0002
7370,+.582400218609E-0002
7380,+.582005531507E-0002
7390,+.581611645747E-0002
7400,+.581218558621E-0002
7410,+.580826267431E-0002
7420,+.580434769496E-0002
7430,+.580044062148E-0002
7440,+.579654142729E-0002
7450,+.579265008594E-0002
7460,+.578876657107E-0002
7470,+.578489085655E-0002
7480,+.578102291622E-0002
7490,+.577716272421E-0002
7500,+.577331025463E-0002
7510,+.576946548179E-0002
7520,+.576562838008E-0002
7530,+.576179892403E-0002
7540,+.575797708828E-0002
7550,+.575416284759E-0002
7560,+.575035617686E-0002
7570,+.574655705105E-0002
7580,+.574276544531E-0002
7590,+.573898133482E-0002
7600,+.573520469493E-0002
7610,+.573143550109E-0002
7620,+.572767372890E-0002
7630,+.572391935398E-0002
7640,+.572017235217E-0002
7650,+.571643269933E-0002
7660,+.571270037149E-0002
7670,+.570897534476E-0002
7680,+.570525759538E-0002
7690,+.570154709965E-0002
7700,+.569784383406E-0002
7710,+.569414777512E-0002
7720,+.569045889954E-0002
7730,+.568677718400E-0002
7740,+.568310260545E-0002
7750,+.567943514079E-0002
7760,+.567577476716E-0002
7770,+.567212146169E-0002
7780,+.566847520169E-0002
7790,+.566483596454E-0002
7800,+.566120372770E-0002
7810,+.565757846879E-0002
7820,+.565396016547E-0002
7830,+.565034879556E-0002
7840,+.564674433690E-0002
7850,+.564314676750E-0002
7860,+.563955606545E-0002
7870,+.563597220891E-0002
7880,+.563239517618E-0002
7890,+.562882494560E-0002
7900,+.562526149565E-0002
7910,+.562170480492E-0002
7920,+.561815485206E-0002
7930,+.561461161577E-0002
7940,+.561107507497E-0002
7950,+.560754520856E-0002
7960,+.560402199559E-0002
7970,+.560050541516E-0002
7980,+.559699544651E-0002
7990,+.559349206894E-0002
8000,+.558999526186E-0002
8010,+.558650500473E-0002
8020,+.558302127713E-0002
8030,+.557954405876E-0002
8040,+.557607332935E-0002
8050,+.557260906874E-0002
8060,+.556915125686E-0002
8070,+.556569987374E-0002
8080,+.556225489947E-0002
8090,+.555881631426E-0002
8100,+.555538409837E-0002
8110,+.555195823218E-0002
8120,+.554853869609E-0002
8130,+.554512547069E-0002
8140,+.554171853655E-0002
8150,+.553831787437E-0002
8160,+.553492346495E-0002
8170,+.553153528917E-0002
8180,+.552815332792E-0002
8190,+.552477756224E-0002
8200,+.552140797326E-0002
8210,+.551804454216E-0002
8220,+.551468725020E-0002
8230,+.551133607873E-0002
8240,+.550799100918E-0002
8250,+.550465202305E-0002
8260,+.550131910191E-0002
8270,+.549799222746E-0002
8280,+.549467138140E-0002
8290,+.549135654555E-0002
8300,+.548804770183E-0002
8310,+.548474483217E-0002
8320,+.548144791864E-0002
8330,+.547815694337E-0002
8340,+.547487188854E-0002
8350,+.547159273641E-0002
8360,+.546831946933E-0002
8370,+.546505206974E-0002
8380,+.546179052010E-0002
8390,+.545853480301E-0002
8400,+.545528490106E-0002
8410,+.545204079701E-0002
8420,+.544880247359E-0002
8430,+.544556991370E-0002
8440,+.544234310024E-0002
8450,+.543912201620E-0002
8460,+.543590664465E-0002
8470,+.543269696873E-0002
8480,+.542949297166E-0002
8490,+.542629463668E-0002
8500,+.542310194716E-0002
8510,+.541991488650E-0002
8520,+.541673343817E-0002
8530,+.541355758574E-0002
8540,+.541038731281E-0002
8550,+.540722260307E-0002
8560,+.540406344024E-0002
8570,+.540090980819E-0002
8580,+.539776169074E-0002
8590,+.539461907186E-0002
8600,+.539148193560E-0002
8610,+.538835026599E-0002
8620,+.538522404719E-0002
8630,+.538210326340E-0002
8640,+.537898789889E-0002
8650,+.537587793801E-0002
8660,+.537277336512E-0002
8670,+.536967416473E-0002
8680,+.536658032131E-0002
8690,+.536349181948E-0002
8700,+.536040864388E-0002
8710,+.535733077922E-0002
8720,+.535425821028E-0002
8730,+.535119092184E-0002
8740,+.534812889886E-0002
8750,+.534507212626E-0002
8760,+.534202058907E-0002
8770,+.533897427232E-0002
8780,+.533593316118E-0002
8790,+.533289724083E-0002
8800,+.532986649652E-0002
8810,+.532684091357E-0002
8820,+.532382047733E-0002
8830,+.532080517324E-0002
8840,+.531779498677E-0002
8850,+.531478990347E-0002
8860,+.531178990892E-0002
8870,+.530879498878E-0002
8880,+.530580512878E-0002
8890,+.530282031468E-0002
8900,+.529984053229E-0002
8910,+.529686576749E-0002
8920,+.529389600622E-0002
8930,+.529093123448E-0002
8940,+.528797143831E-0002
8950,+.528501660378E-0002
8960,+.528206671707E-0002
8970,+.527912176439E-0002
8980,+.527618173199E-0002
8990,+.527324660618E-0002
9000,+.527031637334E-0002
9010,+.526739101988E-0002
9020,+.526447053228E-0002
9030,+.526155489706E-0002
9040,+.525864410082E-0002
9050,+.525573813015E-0002
9060,+.525283697176E-0002
9070,+.524994061239E-0002
9080,+.524704903879E-0002
9090,+.524416223782E-0002
9100,+.524128019636E-0002
9110,+.523840290133E-0002
9120,+.523553033975E-0002
9130,+.523266249864E-0002
9140,+.522979936507E-0002
9150,+.522694092621E-0002
9160,+.522408716920E-0002
9170,+.522123808130E-0002
9180,+.521839364980E-0002
9190,+.521555386202E-0002
9200,+.521271870531E-0002
9210,+.520988816714E-0002
9220,+.520706223496E-0002
9230,+.520424089630E-0002
9240,+.520142413875E-0002
9250,+.519861194988E-0002
9260,+.519580431737E-0002
9270,+.519300122895E-0002
9280,+.519020267237E-0002
9290,+.518740863541E-0002
9300,+.518461910590E-0002
9310,+.518183407182E-0002
9320,+.517905352102E-0002
9330,+.517627744154E-0002
9340,+.517350582136E-0002
9350,+.517073864860E-0002
9360,+.516797591136E-0002
9370,+.516521759779E-0002
9380,+.516246369612E-0002
9390,+.515971419460E-0002
9400,+.515696908150E-0002
9410,+.515422834519E-0002
9420,+.515149197403E-0002
9430,+.514875995646E-0002
9440,+.514603228092E-0002
9450,+.514330893596E-0002
9460,+.514058991011E-0002
9470,+.513787519196E-0002
9480,+.513516477018E-0002
9490,+.513245863340E-0002
9500,+.512975677039E-0002
9510,+.512705916987E-0002
9520,+.512436582068E-0002
9530,+.512167671164E-0002
9540,+.511899183164E-0002
9550,+.511631116962E-0002
9560,+.511363471455E-0002
9570,+.511096245542E-0002
9580,+.510829438129E-0002
9590,+.510563048122E-0002
9600,+.510297074439E-0002
9610,+.510031515995E-0002
9620,+.509766371707E-0002
9630,+.509501640502E-0002
9640,+.509237321310E-0002
9650,+.508973413061E-0002
9660,+.508709914692E-0002
9670,+.508446825145E-0002
9680,+.508184143362E-0002
9690,+.507921868291E-0002
9700,+.507659998883E-0002
9710,+.507398534096E-0002
9720,+.507137472886E-0002
9730,+.506876814215E-0002
9740,+.506616557054E-0002
9750,+.506356700369E-0002
9760,+.506097243137E-0002
9770,+.505838184336E-0002
9780,+.505579522942E-0002
9790,+.505321257945E-0002
9800,+.505063388336E-0002
9810,+.504805913098E-0002
9820,+.504548831236E-0002
9830,+.504292141744E-0002
9840,+.504035843628E-0002
9850,+.503779935892E-0002
9860,+.503524417547E-0002
9870,+.503269287607E-0002
9880,+.503014545087E-0002
9890,+.502760189011E-0002
9900,+.502506218399E-0002
9910,+.502252632282E-0002
9920,+.501999429689E-0002
9930,+.501746609652E-0002
9940,+.501494171213E-0002
9950,+.501242113411E-0002
9960,+.500990435290E-0002
9970,+.500739135899E-0002
9980,+.500488214286E-0002
9990,+.500237669510E-0002
10000,+.499987500625E-0002
10010,+.499737706694E-0002
10020,+.499488286781E-0002
10030,+.499239239953E-0002
10040,+.498990565281E-0002
10050,+.498742261838E-0002
